interest,weather_code,budget,recommended_site,interest_cat,recommended_site_cat
cultural,80,16577,Khunjerab Pass – Hunza,1,26
historical,67,28791,Hingol National Park – Lasbela,2,19
cultural,66,15598,Naltar Valley – Gilgit,1,37
cultural,75,16916,Kumrat Valley – Upper Dir,1,27
cultural,96,22860,Hanna Lake – Quetta,1,18
cultural,75,24112,Chaukhandi Tombs – Karachi,1,6
nature,81,25229,Passu Cones – Hunza,3,42
cultural,85,12137,Noor Mahal – Bahawalpur,1,40
nature,73,24114,Faisal Mosque – Islamabad,3,14
adventure,65,16497,Ranikot Fort – Jamshoro,0,47
cultural,63,26849,Banjosa Lake – Rawalakot,1,5
cultural,51,22989,Khunjerab Pass – Hunza,1,26
cultural,95,9420,Banjosa Lake – Rawalakot,1,5
historical,73,4793,Makli Necropolis – Thatta,2,32
historical,75,14146,Siri Paye Meadows – Shogran,2,54
adventure,99,18784,Hanna Lake – Quetta,0,18
nature,99,19517,Hiran Minar – Sheikhupura,3,20
nature,3,8385,Naltar Valley – Gilgit,3,37
cultural,99,23303,Hiran Minar – Sheikhupura,1,20
nature,51,24962,Neelum Valley – Azad Kashmir,3,39
historical,53,19838,Arang Kel – Neelum Valley,2,0
nature,45,11344,Greater Iqbal Park – Lahore,3,16
nature,96,27738,Thandiani – Abbottabad,3,59
historical,48,22002,Bagh Valley – AJK,2,4
nature,95,12857,Thandiani – Abbottabad,3,59
historical,53,24954,Haleji Lake – Thatta,2,17
nature,63,25134,Makli Necropolis – Thatta,3,32
historical,2,12107,Chitral – KPK,2,7
adventure,71,8046,Noor Mahal – Bahawalpur,0,40
historical,56,29149,Thandiani – Abbottabad,2,59
adventure,56,21035,Ratti Gali Lake – Neelum Valley,0,48
cultural,73,14854,Rawal Lake – Islamabad,1,49
adventure,0,22277,Kalash Valley – Chitral,0,23
historical,66,5907,Kumrat Valley – Upper Dir,2,27
adventure,85,16707,Mohenjo Daro – Larkana,0,36
nature,55,22494,Quaid-e-Azam Mausoleum – Karachi,3,45
adventure,48,6528,Lahore Fort – Lahore,0,29
nature,3,20468,Kund Malir Beach – Balochistan,3,28
nature,56,13606,Bagh Valley – AJK,3,4
cultural,57,26208,Minar-e-Pakistan – Lahore,1,35
adventure,65,29527,Hiran Minar – Sheikhupura,0,20
cultural,51,18258,K2 Base Camp – Skardu,1,22
historical,81,28459,Faisal Mosque – Islamabad,2,14
cultural,71,9884,Greater Iqbal Park – Lahore,1,16
historical,53,16849,Attabad Lake – Hunza,2,1
cultural,81,5465,Deosai Plains – Skardu,1,11
adventure,55,5366,Lal Suhanra Park – Bahawalpur,0,30
nature,65,25220,Badshahi Mosque – Lahore,3,3
nature,0,20900,K2 Base Camp – Skardu,3,22
historical,95,4688,Minar-e-Pakistan – Lahore,2,35
cultural,45,5930,Passu Cones – Hunza,1,42
nature,95,26837,Fairy Meadows – Gilgit-Baltistan,3,13
cultural,67,28810,Rakaposhi Base Camp – Nagar,1,46
nature,56,8515,Lahore Fort – Lahore,3,29
nature,75,12864,Kund Malir Beach – Balochistan,3,28
adventure,57,16292,Ranikot Fort – Jamshoro,0,47
historical,66,16918,Sheesh Mahal – Lahore,2,53
historical,45,22574,Greater Iqbal Park – Lahore,2,16
cultural,81,26576,Hiran Minar – Sheikhupura,1,20
historical,81,28511,Siri Paye Meadows – Shogran,2,54
historical,77,20779,Hiran Minar – Sheikhupura,2,20
cultural,56,21114,Makli Necropolis – Thatta,1,32
cultural,73,19860,Lok Virsa Museum – Islamabad,1,31
cultural,73,19134,Pir Ghaib Waterfall – Bolan,1,43
cultural,82,4836,Greater Iqbal Park – Lahore,1,16
cultural,56,8758,Makli Necropolis – Thatta,1,32
cultural,56,12760,Pir Ghaib Waterfall – Bolan,1,43
cultural,85,17457,Bagh Valley – AJK,1,4
historical,82,24765,Fairy Meadows – Gilgit-Baltistan,2,13
cultural,61,25271,Sheesh Mahal – Lahore,1,53
historical,80,27779,Soon Valley – Khushab,2,56
historical,67,29549,Soon Valley – Khushab,2,56
adventure,99,18961,Clifton Beach – Karachi,0,8
historical,95,6252,Fairy Meadows – Gilgit-Baltistan,2,13
adventure,61,12811,Thandiani – Abbottabad,0,59
cultural,3,21181,Khewra Salt Mines – Jhelum,1,25
adventure,48,7643,Princess of Hope – Makran Coast,0,44
cultural,0,12499,Rawal Lake – Islamabad,1,49
adventure,61,23786,Pakistan Monument – Islamabad,0,41
nature,61,7380,Khewra Salt Mines – Jhelum,3,25
historical,85,13856,Naltar Valley – Gilgit,2,37
historical,77,25134,Arang Kel – Neelum Valley,2,0
adventure,2,28378,Skardu – Gilgit-Baltistan,0,55
cultural,45,25136,Swat Valley – KPK,1,57
historical,51,14848,Ayubia National Park – Abbottabad,2,2
historical,57,13558,Mohenjo Daro – Larkana,2,36
adventure,53,29125,Daman-e-Koh – Islamabad,0,9
nature,3,28094,Chaukhandi Tombs – Karachi,3,6
nature,2,14877,Makli Necropolis – Thatta,3,32
historical,2,28424,Haleji Lake – Thatta,2,17
adventure,65,5832,Hanna Lake – Quetta,0,18
cultural,73,29564,Khunjerab Pass – Hunza,1,26
nature,77,13821,Gorakh Hills – Dadu,3,15
historical,82,21200,Chitral – KPK,2,7
cultural,0,14386,Rakaposhi Base Camp – Nagar,1,46
